"Título do Desenho: Termohigrógrafo_coleta_MALG"
"#","Data Hora, GMT-03:00","Temp., °C (LGR S/N: 20455588, SEN S/N: 20455588)","HR, % (LGR S/N: 20455588, SEN S/N: 20455588)","Anfitrião Ligado (LGR S/N: 20455588)","Fim Do Ficheiro (LGR S/N: 20455588)"
1,07/02/20 12h43min39s,16.490,61.022,,
2,07/02/20 01h43min39s,13.789,67.409,,
3,07/02/20 02h43min39s,13.308,74.991,,
4,07/02/20 03h43min39s,13.404,75.978,,
5,07/02/20 04h43min39s,13.452,76.533,,
6,07/02/20 05h43min39s,13.476,76.901,,
7,07/02/20 06h43min39s,13.476,77.396,,
8,07/02/20 07h43min39s,13.476,77.738,,
9,07/02/20 08h43min39s,13.452,78.092,,
10,07/02/20 09h43min39s,13.452,78.517,,
11,07/02/20 10h43min39s,13.452,78.831,,
12,07/02/20 11h43min39s,13.428,79.090,,
13,07/03/20 12h43min39s,13.404,79.421,,
14,07/03/20 01h43min39s,13.404,79.691,,
15,07/03/20 02h43min39s,13.356,79.832,,
16,07/03/20 03h43min39s,13.332,80.043,,
17,07/03/20 04h43min39s,13.260,80.190,,
18,07/03/20 05h43min39s,13.212,80.122,,
19,07/03/20 06h43min39s,13.139,80.269,,
20,07/03/20 07h43min39s,13.067,80.490,,
21,07/03/20 08h43min39s,13.019,80.567,,
22,07/03/20 09h43min39s,12.995,80.642,,
23,07/03/20 10h43min39s,12.947,80.571,,
24,07/03/20 11h43min39s,12.898,80.429,,
25,07/03/20 12h43min39s,12.898,80.214,,
26,07/03/20 01h43min39s,13.067,80.203,,
27,07/03/20 02h43min39s,13.212,79.981,,
28,07/03/20 03h43min39s,13.380,79.830,,
29,07/03/20 04h43min39s,13.380,79.761,,
30,07/03/20 05h43min39s,13.332,79.765,,
31,07/03/20 06h43min39s,13.284,79.768,,
32,07/03/20 07h43min39s,13.236,80.050,,
33,07/03/20 08h43min39s,13.187,80.266,,
34,07/03/20 09h43min39s,13.163,80.484,,
35,07/03/20 10h43min39s,13.115,80.561,,
36,07/03/20 11h43min39s,13.043,80.565,,
37,07/04/20 12h43min39s,12.971,80.497,,
38,07/04/20 01h43min39s,12.898,80.357,,
39,07/04/20 02h43min39s,12.850,80.504,,
40,07/04/20 03h43min39s,12.802,80.727,,
41,07/04/20 04h43min39s,12.729,80.732,,
42,07/04/20 05h43min39s,12.657,80.885,,
43,07/04/20 06h43min39s,12.609,81.039,,
44,07/04/20 07h43min39s,12.512,80.599,,
45,07/04/20 08h43min39s,12.391,79.106,,
46,07/04/20 09h43min39s,12.367,78.918,,
